student_id,student_name,label,image_number,lighting,occlusion,attendance,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,feat_67,feat_68,feat_69,feat_70,feat_71,feat_72,feat_73,feat_74,feat_75,feat_76,feat_77,feat_78,feat_79,feat_80,feat_81,feat_82,feat_83,feat_84,feat_85,feat_86,feat_87,feat_88,feat_89,feat_90,feat_91,feat_92,feat_93,feat_94,feat_95,feat_96,feat_97,feat_98,feat_99,feat_100,feat_101,feat_102,feat_103,feat_104,feat_105,feat_106,feat_107,feat_108,feat_109,feat_110,feat_111,feat_112,feat_113,feat_114,feat_115,feat_116,feat_117,feat_118,feat_119,feat_120,feat_121,feat_122,feat_123,feat_124,feat_125,feat_126,feat_127
S001,Student_001,0,1,Normal,Partial,Present,0.52661,-0.289307,0.18249,1.543599,-0.552844,-0.092059,1.303386,1.232415,-0.70445,0.445942,-0.219363,-0.834989,0.3102,-1.521137,-2.207163,-0.506897,-0.934866,0.548794,-1.279109,-1.808441,1.622231,-0.136681,0.142676,-1.320814,-0.74839,0.180599,-1.063072,0.161393,-0.040906,-0.149544,-0.959098,2.049244,-0.305902,-0.821586,1.170124,-1.467048,0.497876,-1.835836,-1.081568,0.765899,0.66485,-0.054753,-0.382503,-0.545847,-1.501653,-0.617499,-0.377632,1.305277,0.347519,-1.32698,0.244687,0.430968,-0.489222,0.354529,0.709732,1.076022,-0.906256,-0.095012,0.473235,0.953696,-0.733212,-0.640113,-1.240289,-0.939287,0.876754,0.982518,-0.020056,1.119128,0.096479,-0.599002,0.378858,1.195145,0.07151,1.732879,-2.29483,1.138043,-0.326254,-0.580355,0.246271,-1.833433,-0.065158,1.512932,1.649161,-0.177601,-0.522293,-0.30634,0.820821,0.556442,-0.761608,0.442222,-0.048532,0.993207,-0.007656,-0.887842,-0.18623,-1.94733,0.154541,0.58774,0.024397,-0.557911,-1.629962,-0.216766,-0.561825,-0.73734,-0.147614,0.208571,2.529369,0.364754,-0.349992,-0.01851,-2.117307,0.229216,-0.177526,2.428821,-0.040865,0.561274,-0.394801,-1.269028,1.000339,0.555934,1.320668,-0.787893,1.024529,-1.126492,1.223504,2.500195,-1.446347,-0.711568
S001,Student_001,0,2,Bright,Partial,Present,0.425497,0.423337,0.641856,1.243252,-0.622636,-0.265673,0.980724,0.377377,-0.006554,0.939539,-0.501941,-0.605429,0.259515,-1.208881,-1.603425,-0.289366,-1.073568,0.332516,-0.713875,-1.374475,0.896436,0.158386,-0.117012,-0.791353,-0.338328,0.132214,-1.019195,0.343149,-0.746569,-0.229414,-0.336209,1.712919,-0.200168,-1.164358,1.108148,-0.785079,0.317468,-1.785276,-1.517096,0.459888,0.903988,-0.04167,-0.65195,-0.667275,-1.679283,-0.371263,0.005219,0.925267,0.221244,-1.684553,0.327728,-0.105802,-0.833878,0.896419,0.959232,1.187473,-0.92053,-0.493141,0.904959,1.295113,-1.016788,-0.319691,-0.744858,-1.555205,1.043729,1.556357,-0.281754,1.000888,-0.265369,-0.11399,0.268668,1.77918,0.148326,1.972008,-2.749736,0.883049,0.25478,-0.037245,0.438067,-2.130783,-0.41894,0.765146,0.866771,-0.047261,-0.899191,-0.503126,0.710699,0.314292,-0.148419,0.744526,0.244883,0.995307,-1.135736,-0.580903,-0.495069,-1.326212,0.317016,0.556107,0.147202,-0.218282,-0.732642,-0.298777,-0.472297,-0.244287,0.198838,0.948877,1.852906,0.467471,-0.178304,0.160756,-1.966088,-0.433031,0.37001,1.920203,-0.766173,0.41029,0.136692,-0.877521,1.365412,1.194931,1.001105,-0.949077,1.380711,-1.486517,0.6755,1.861252,-0.88826,-0.592222
S001,Student_001,0,3,Normal,None,Present,0.018386,-0.318077,0.649262,1.537124,-0.369173,-0.047282,1.258927,0.724721,-0.433386,0.696892,-0.249933,-0.803122,-0.218272,-1.529977,-1.625224,-0.786833,-0.547486,0.34895,-0.554235,-1.392048,2.083873,0.300826,-0.007161,-1.133277,-0.35077,0.521512,-1.440471,0.581513,-0.283111,-0.819316,-0.956684,1.240509,-0.094319,-0.842448,1.273252,-1.198615,0.697448,-2.373701,-1.839201,0.180197,0.853686,0.16156,-0.735881,-0.32784,-1.869863,-0.518942,-0.350659,0.775158,0.189458,-2.080804,0.30528,-0.09854,-0.97264,0.76289,0.871922,0.693418,-0.871327,-0.619785,0.165169,0.616182,0.110243,-0.17508,-1.316253,-1.132013,0.778827,1.289949,0.11224,1.230785,0.202486,-0.817865,0.27888,0.84746,-0.490383,1.974706,-2.126255,0.747192,0.260014,-0.205632,1.015425,-1.651696,-0.258047,0.07045,0.99596,-0.457231,-1.035399,-0.928433,0.72143,0.004287,-0.023618,0.777759,0.094686,1.412628,-0.678843,-0.586047,0.064829,-1.301842,-0.015054,0.203954,-0.257572,-0.649427,-1.137517,0.15218,-0.762285,-0.633386,-0.356478,0.257913,1.708468,-0.084619,0.272107,-0.323731,-1.837634,-0.041585,-0.011454,2.190973,-0.365392,0.528165,0.115563,-1.461945,1.172623,0.977349,0.29021,-0.746379,1.204007,-1.230671,0.357879,1.648991,-1.478799,-0.551872
S001,Student_001,0,4,Normal,Partial,Present,0.154972,-0.057942,1.482822,1.039728,-0.278719,-0.356375,1.398622,0.99551,-0.137576,0.774051,-0.680419,0.264425,-0.289111,-2.223069,-1.673999,-0.535469,-0.866418,0.788288,-0.943979,-1.378185,1.287294,-0.049278,-0.028015,-1.520465,-0.381338,0.421399,-1.813426,0.483932,-0.6817,-0.007409,-0.676743,2.242594,-0.216421,-1.72681,1.138023,-1.473907,-0.265212,-1.954854,-1.39994,0.443793,1.00619,0.200054,-0.381093,-0.215021,-1.428964,-0.549163,-0.723081,0.93701,0.496432,-1.388842,0.613861,-0.360466,-0.823141,0.732822,0.703582,0.68618,-0.386286,-0.188602,0.227005,1.224287,-0.093082,-0.31905,-1.234557,-1.362,1.101681,1.648307,0.343761,1.306114,-0.128029,-0.56083,0.04388,1.384162,0.015352,1.815313,-2.886998,0.124487,0.141206,0.494064,0.030907,-1.973494,0.314977,0.534195,1.542952,-0.385635,-0.73342,-0.843683,0.512969,0.8948,-0.474595,0.543296,0.070009,1.202967,0.059554,-0.170476,-0.568534,-1.503535,0.617419,0.086215,0.260787,-0.930808,-1.484335,-0.232203,0.038323,-1.04782,-0.612115,0.32583,1.54856,0.129867,0.255554,-0.470189,-1.677439,-0.073678,0.384368,1.909771,-0.497519,0.456548,-0.274445,-1.218039,1.143033,0.79941,0.587762,-0.864601,1.168031,-1.199567,0.552404,2.236967,-0.219558,-0.898429
S001,Student_001,0,5,Bright,Masked,Absent,-0.298577,0.189188,1.021514,0.901013,-0.33696,-0.345569,1.156959,0.53409,-0.802647,1.068241,-0.182714,-0.084263,0.458464,-2.251996,-1.882274,-0.415475,-1.379469,0.528147,-0.980122,-1.52475,1.678937,-0.092497,-0.040762,-1.076949,-0.868702,0.295703,-0.973063,0.282834,-0.502799,-0.667028,-0.324499,1.796808,-0.170314,-0.743008,0.611242,-1.643382,-0.258125,-1.777867,-1.712315,0.723299,0.113888,0.680305,-0.052343,-0.330118,-1.641998,-0.600103,-0.471929,1.388113,0.377887,-1.71795,0.215,-0.402166,-0.584581,0.098626,0.626544,1.154259,-0.787958,-0.364407,0.336794,1.07982,-0.641102,-0.41915,-1.047581,-1.489718,0.935002,0.845465,0.236737,1.145312,0.438445,-0.350312,0.861038,1.842348,-0.588088,1.180771,-2.807191,0.82973,0.242345,-0.51673,0.147791,-2.214184,-0.403127,-0.064886,1.200924,-0.923776,-1.101256,-0.185665,0.630582,1.118466,-0.381765,0.568718,-0.16043,1.178738,-0.874744,-0.291059,0.375917,-1.492333,0.640902,0.050102,-0.005383,0.296653,-1.603461,0.123089,-0.130389,-0.971017,0.028437,0.695817,2.072729,-0.29649,0.039409,-0.148702,-1.941101,0.159688,0.113541,2.062639,-0.078302,0.484723,0.133225,-0.844444,1.392999,0.889687,0.769982,-1.407676,1.53168,-1.339545,0.668331,1.807431,-1.314853,-0.250352
S001,Student_001,0,6,Low,None,Absent,0.835435,-0.162389,0.508053,1.788985,-0.655701,-0.083827,1.266467,1.150813,-0.547783,0.583055,-0.339647,-1.044635,0.046787,-1.600216,-1.464588,-0.477378,-1.41767,0.489898,-0.694004,-1.398199,1.8326,-0.430806,-0.085429,-2.170132,-0.268434,0.205081,-1.65554,-0.151882,-0.862428,-0.053596,-0.691815,1.610842,-0.315332,-1.372985,0.242441,-1.583062,-0.11231,-1.754883,-1.377903,-0.050814,1.431383,-0.027801,0.234483,0.185229,-1.94951,-0.697655,-0.615899,0.877445,0.510231,-1.949901,0.175293,-0.435517,-0.788942,0.259605,1.269771,1.245839,-0.736132,-0.422178,0.1197,0.764459,0.228039,0.095693,-1.358368,-1.146797,0.703765,1.53138,0.09104,1.328616,0.106469,-0.613699,-0.163168,1.160834,0.229404,1.279439,-2.872018,0.819419,0.295475,-0.617255,-0.952482,-2.248636,0.142017,0.460053,1.875056,-0.857815,-1.300312,-0.362992,0.987409,0.420417,-0.249861,0.639773,0.218763,1.183147,-0.551328,-0.070428,-0.089552,-1.004008,0.101363,0.405224,-0.105984,-0.484655,-1.622233,-0.272159,-0.217239,-0.682154,-0.229,0.405075,2.131512,-0.27224,0.264943,-0.047459,-1.69278,-0.431588,0.50877,2.527331,-0.112387,0.181133,0.126695,-1.154292,1.505517,0.319485,0.843696,-0.786834,1.346883,-1.523251,0.47797,2.242847,-1.533524,-0.276793
S001,Student_001,0,7,Normal,None,Absent,0.329038,-0.025101,1.117346,1.503305,-0.400713,0.33021,1.144809,0.107793,-0.33747,0.391944,-0.769788,-0.253223,0.315102,-2.082504,-2.109009,-0.30055,-0.817771,0.284495,-0.354033,-1.733329,1.007991,-0.433349,0.053852,-1.351746,-0.616754,0.216539,-1.526455,0.808827,-0.625284,0.043495,-0.498889,1.989304,0.157433,-0.923398,1.015362,-0.822098,0.26782,-1.746969,-1.355107,0.628896,0.535549,0.71165,-0.127696,-0.730336,-1.440091,-0.92416,-0.208446,0.861335,0.209763,-2.329902,0.188392,-1.112246,-1.152093,0.839801,1.26674,1.058917,-1.12931,-0.323526,0.330183,0.628036,-0.028155,0.07755,-1.172624,-1.188141,0.875041,0.74372,-0.146163,0.798938,0.06115,-0.72945,0.900702,1.730289,-0.20718,1.736418,-2.199938,1.099293,0.104936,-0.493088,0.301228,-1.869523,0.048886,0.547664,1.79276,-0.678841,-0.413275,-0.442477,1.53798,0.121995,-0.008971,0.572641,-0.098348,0.823479,-0.798157,-0.200412,-0.235258,-1.635625,0.288814,0.903736,0.523376,-0.10369,-1.40397,-0.384636,-0.158659,-1.109115,-0.238499,-0.096524,2.005953,0.368737,0.112594,0.39775,-2.286501,-0.465826,0.127566,2.777372,0.312817,0.163882,0.288892,-1.180231,1.091035,1.017031,0.986729,-1.382305,1.845756,-0.987824,0.399188,2.309197,-0.842327,-0.488096
S001,Student_001,0,8,Low,Partial,Present,0.593854,-0.225711,0.152541,1.507903,-0.281172,0.084583,0.908885,0.837995,-0.816145,0.638327,-0.351134,-0.491783,0.48415,-2.28701,-1.392602,-0.774711,-1.479601,0.232529,-1.536571,-1.336052,1.387874,0.14433,0.262205,-1.842347,-0.795899,0.267122,-0.89687,0.742448,-0.236286,-0.318551,-0.49291,2.2419,-0.10449,-0.943793,0.724481,-1.386128,0.223379,-2.165933,-1.367461,-0.113625,0.681468,0.305885,-0.292277,-0.298316,-1.436719,-0.584084,-0.500713,1.382882,-0.286657,-0.881714,0.062744,-0.264065,-0.958462,0.804957,1.11397,0.736066,-0.517291,-0.358401,0.495428,0.700397,-0.488441,0.415363,-0.817445,-1.10392,0.67785,1.37649,-0.01274,1.138301,0.038638,-0.444597,0.034518,2.027374,-0.267315,1.653632,-2.318202,0.746188,0.189227,0.131547,0.261082,-1.880904,-0.725108,0.076996,1.79197,-0.347285,-0.592054,-0.311138,1.302329,0.250331,-0.49361,0.204665,-0.286329,0.475523,-0.967602,0.138106,-0.857926,-1.554576,-0.091823,0.080763,0.056022,-0.444622,-1.088471,0.039548,-1.017443,-1.007175,-0.143543,0.741886,1.749913,0.168597,-0.089473,-0.534285,-1.485156,-0.573735,0.758816,2.680788,0.011631,0.474188,-0.110517,-1.051053,1.086154,0.917855,0.780926,-1.194492,1.141623,-1.697133,0.878127,2.005222,-1.564167,-0.447246
S001,Student_001,0,9,Normal,None,Present,0.201968,-0.205654,0.812704,1.232527,-0.202541,-0.634345,1.398803,0.863369,-0.947373,0.674702,-0.469309,-0.299983,0.309137,-1.504038,-1.68735,-0.691109,-0.976142,0.477237,-0.893366,-1.400126,1.255051,-0.424647,-0.353253,-0.899875,-0.917542,-0.096949,-1.366516,0.644175,-0.689124,0.082629,-0.803754,1.935976,-0.264101,-0.414166,0.466265,-1.127897,0.398997,-1.83553,-1.383772,0.157915,0.75161,0.127268,0.173515,0.362053,-1.64577,-1.130785,-0.487123,1.831035,0.102516,-1.271305,0.827394,-0.551159,-0.506227,1.100195,0.917261,0.870206,-1.013722,-0.613639,0.13648,0.608363,-0.468949,-0.416651,-1.036199,-1.662975,0.91179,1.606299,-0.670131,1.11575,0.729937,-1.008012,0.863167,1.663742,-0.24733,1.547913,-2.452247,0.844704,0.248674,-0.575209,0.142569,-2.411683,-0.25304,0.08594,1.257235,-0.147442,-0.481101,-0.319016,0.587708,0.233829,-0.165831,0.555783,0.792876,1.08664,-0.644438,-0.420397,-0.352046,-1.509256,0.508553,0.548066,-0.230683,-0.633957,-1.966232,-0.268248,-0.673724,-1.448144,-0.044712,1.151951,1.884365,0.426125,0.282099,-0.104113,-1.643048,-0.113596,0.140448,2.559751,-0.392788,0.59916,-0.0872,-1.395402,1.303776,0.482393,0.799486,-0.912123,1.728563,-1.259442,0.579349,2.435786,-0.573474,-0.398955
S001,Student_001,0,10,Low,Partial,Present,0.3852,-0.435958,0.800016,1.539226,-0.774876,-0.428096,0.712731,0.855416,-0.384485,0.304575,-0.301384,-0.850479,-0.047993,-1.788123,-1.931518,-0.581085,-1.181926,0.190968,-1.018191,-1.624331,1.556384,-0.414155,0.072234,-1.643368,-1.004672,0.384653,-1.001135,1.062303,-0.913831,-0.354382,-0.640259,2.149089,-0.16563,-1.409023,1.184888,-1.315839,0.472457,-1.731011,-1.337153,0.144567,0.620997,0.16681,0.143282,-0.540036,-1.445868,-1.055434,-0.758871,1.047841,-0.244429,-1.144873,-0.033834,-0.397109,-0.326457,0.352805,0.34019,0.797796,-1.101664,-0.992124,0.41673,1.037673,-0.136476,-0.521906,-1.586076,-1.318224,0.786023,1.632645,0.35116,1.367877,0.444599,-0.40527,0.169248,1.588555,-0.393213,1.583449,-2.593151,1.338541,0.018352,-0.271994,0.162849,-2.124015,-0.46042,0.746756,1.183619,-0.916646,-0.604414,-0.154413,0.779979,0.197935,-0.444997,0.300912,-0.137436,1.232523,-0.519914,0.065686,-0.767885,-1.614254,0.380474,-0.016631,0.19762,0.132801,-1.590378,-0.409068,0.093971,-0.262496,0.062455,0.58208,1.630065,0.282341,0.424597,-0.137557,-2.097204,-0.410903,-0.461089,1.878877,-0.018528,0.345857,-0.179855,-1.268115,1.205964,0.702564,0.388866,-0.635487,1.494032,-1.322082,0.838126,1.946362,-0.626417,-0.608311
